date,avgtempC,humidity,windspeedKmph,precipMM,visibility,pressure,cloudcover
2010-01-01,24,92.88,5.12,0.7000000000000001,5.75,1008.12,45.0
2010-01-02,25,94.62,5.38,1.1,5.88,1008.88,51.1
2010-01-03,23,88.62,4.38,4.0,6.62,1009.25,45.0
2010-01-04,25,95.62,4.38,7.9,5.25,1009.0,71.0
2010-01-05,24,95.88,5.0,7.2,5.5,1009.0,81.0
2010-01-06,23,87.62,2.62,0.3,7.38,1010.12,55.5
2010-01-07,23,85.62,6.0,1.0,6.0,1010.5,51.5
2010-01-08,24,90.0,7.88,2.8,6.88,1010.25,48.9
2010-01-09,24,85.5,7.62,0.2,8.0,1009.75,13.8
2010-01-10,24,81.5,6.5,0.0,8.0,1009.88,13.0
2010-01-11,24,79.25,7.0,0.0,10.0,1010.62,22.4
2010-01-12,23,83.75,7.25,2.0,9.88,1011.25,25.8
2010-01-13,24,91.25,7.25,5.3,6.88,1012.0,55.9
2010-01-14,24,92.5,7.62,1.3,7.88,1012.88,69.9
2010-01-15,23,85.88,7.25,0.1,9.0,1012.5,40.9
2010-01-16,24,80.62,10.12,0.1,10.0,1011.88,22.5
2010-01-17,24,81.75,10.38,0.0,10.0,1011.75,19.2
2010-01-18,24,92.38,8.62,4.2,8.62,1010.62,56.5
2010-01-19,24,84.75,6.25,2.2,8.88,1010.75,35.9
2010-01-20,24,80.62,4.5,0.3,9.75,1011.88,39.5
2010-01-21,24,85.12,3.88,2.4,8.88,1012.12,33.2
2010-01-22,24,88.75,4.5,7.1999999999999975,6.38,1011.75,51.0
2010-01-23,24,86.0,3.5,2.8,7.88,1011.5,46.6
2010-01-24,24,88.62,4.62,5.5,7.88,1011.0,40.4
2010-01-25,25,91.75,4.12,5.7,6.5,1011.12,66.5
2010-01-26,25,89.88,3.5,8.2,7.25,1010.75,46.0
2010-01-27,25,93.0,3.0,7.3,6.38,1010.88,54.2
2010-01-28,24,85.5,6.75,1.6,6.88,1010.62,30.8
2010-01-29,24,92.88,4.0,6.9,6.75,1011.12,46.6
2010-01-30,25,92.12,5.5,1.9,6.12,1010.88,66.6
2010-01-31,24,93.75,4.25,2.7,6.62,1011.5,86.4
2010-02-01,23,92.0,4.75,2.3,5.25,1010.88,59.6
2010-02-02,24,90.0,5.12,2.7,4.88,1010.75,44.8
2010-02-03,23,82.0,5.88,1.2,7.75,1010.25,20.5
2010-02-04,24,83.0,4.62,0.7999999999999999,9.0,1010.38,28.9
2010-02-05,25,85.12,3.88,5.300000000000002,8.62,1010.88,49.6
2010-02-06,25,90.88,3.62,3.6,6.62,1011.62,57.4
2010-02-07,25,87.12,4.0,5.9,6.25,1011.62,29.9
2010-02-08,25,92.25,3.5,4.3,6.88,1010.62,34.8
2010-02-09,24,88.25,4.5,5.8000000000000025,6.25,1010.38,59.5
2010-02-10,25,87.62,3.38,3.1,7.0,1010.5,36.9
2010-02-11,24,88.75,4.75,4.699999999999998,7.25,1011.12,35.8
2010-02-12,25,91.75,5.62,6.5,6.5,1011.25,37.8
2010-02-13,24,87.75,7.0,5.4,7.38,1009.75,29.2
2010-02-14,24,93.62,4.38,5.4,6.5,1009.5,48.5
2010-02-15,25,92.75,3.38,5.5,5.62,1010.25,42.8
2010-02-16,24,92.12,3.62,0.0,4.38,1010.75,54.0
2010-02-17,24,88.12,3.62,13.1,7.12,1010.38,56.5
2010-02-18,25,93.38,4.88,10.0,5.5,1010.62,56.1
2010-02-19,25,90.88,4.88,11.0,6.12,1011.25,57.5
2010-02-20,25,96.38,6.5,19.9,4.75,1011.88,88.6
2010-02-21,24,87.88,4.62,2.1,6.62,1011.75,51.9
2010-02-22,24,87.25,4.38,1.6,7.88,1012.0,57.2
2010-02-23,24,88.75,3.0,3.8,5.62,1010.62,43.5
2010-02-24,24,89.12,4.0,2.8,6.88,1009.62,48.2
2010-02-25,25,91.88,4.88,0.8,5.38,1010.62,77.9
2010-02-26,24,84.25,4.0,1.6,6.88,1010.0,34.8
2010-02-27,25,85.12,4.25,3.3,8.62,1009.88,22.0
2010-02-28,25,86.88,4.25,7.0,6.25,1010.25,48.6
2010-03-01,26,91.75,3.12,5.5,6.25,1011.5,60.4
2010-03-02,24,89.88,4.5,4.4,6.62,1010.88,51.1
2010-03-03,25,91.12,3.88,2.8,4.75,1010.12,34.0
2010-03-04,25,88.62,5.0,4.0,7.62,1010.0,57.5
2010-03-05,25,84.0,4.5,1.6,9.88,1010.38,56.1
2010-03-06,25,78.5,4.75,0.6,7.88,1011.25,26.1
2010-03-07,25,84.62,4.12,2.7,8.38,1011.75,35.5
2010-03-08,25,88.12,2.88,6.0,8.5,1011.38,46.2
2010-03-09,25,86.88,6.12,1.8,7.88,1012.62,35.4
2010-03-10,24,89.5,3.25,6.3000000000000025,9.12,1013.25,54.6
2010-03-11,24,91.5,3.88,1.3,7.88,1014.12,52.4
2010-03-12,23,87.75,5.12,2.8,7.88,1013.88,73.9
2010-03-13,23,83.75,4.5,0.1,8.88,1012.12,53.5
2010-03-14,24,83.62,3.0,1.7,8.62,1010.38,42.2
2010-03-15,25,85.25,4.12,6.5,6.5,1010.0,52.0
2010-03-16,25,90.25,3.75,7.3000000000000025,7.12,1010.62,61.5
2010-03-17,24,95.0,3.25,3.2,5.38,1011.88,80.4
2010-03-18,24,93.0,4.0,5.0,6.88,1011.75,65.9
2010-03-19,24,87.38,5.0,0.0,8.0,1010.38,66.4
2010-03-20,24,85.88,3.88,0.2,10.0,1009.75,60.4
2010-03-21,24,89.25,4.88,4.4,5.5,1009.5,65.8
2010-03-22,24,86.25,4.25,0.7,6.88,1008.38,60.2
2010-03-23,25,85.0,5.38,1.0,8.88,1007.5,51.8
2010-03-24,25,87.25,5.62,3.1,8.62,1007.62,44.8
2010-03-25,25,85.62,6.25,1.7000000000000002,8.75,1008.0,30.1
2010-03-26,25,82.38,5.62,2.3,8.75,1009.38,34.2
2010-03-27,25,89.62,4.25,4.199999999999998,8.88,1010.25,51.0
2010-03-28,25,88.62,3.12,4.1000000000000005,7.88,1010.0,49.2
2010-03-29,24,87.88,3.5,0.7,9.0,1010.5,62.8
2010-03-30,25,86.5,4.75,2.2,6.88,1010.88,45.9
2010-03-31,25,84.25,4.12,1.0,6.38,1010.62,42.5
2010-04-01,25,87.62,4.12,2.0,8.0,1010.0,48.6
